text,label,lang,id
Women in Work 2020,Business & Management,English,Spain-1511
Workforce Strategy,Business & Management,English,Spain-2447
Cash Flow Statements,Tax & Accounting,English,Greece-10141
Transfer Pricing,Tax & Accounting,English,Turkey-5583
PwC's CEO Survey 2018,Business & Management,English,Denmark-13381
Forensic Intelligence,Government & Controls,English,Turkey-5235
Deal summary Kovanen Yhtiöt Oy / LTP Logistics Oy and Cabonline Group,Finance,English,Finland-3065
Towards common metrics and consistent reporting of ESG performance,Business & Management,English,Greece-10548
"Digital Law, GDPR Advice and Support",Government & Controls,English,Greece-11215
Optimistic cash flows,Tax & Accounting,English,Finland-2996
Emerging Trends in Real Estate: The Global Outlook 2017,Industry,English,Turkey-5707
IFRS news - December 2016 and January 2017,Tax & Accounting,English,Greece-10734
Grupa Azoty will take over the leader in specialty fertilizers. The Company signed an agreement for the acquisition of COMPO EXPERT Group,Finance,English,Poland-554
Finnish mobility survey 2017,Business & Management,English,Finland-3419
Retail and Consumer publications,Industry,English,Greece-10989
Cleantech,Industry,English,Israel-4035
"Insurance CEOs embrace disruption, reveals PwC survey",Business & Management,English,Global-13962
New solidarity tax for the richest taxpayers and new social security contribution – practical impact overview,Finance,English,Poland-478
Fraud Risk Management & Investigations,Government & Controls,English,Turkey-5236
The new European Commission's priorities for 2021-2027,Government & Controls,English,Poland-368
Food fraud vulnerability assessment,Government & Controls,English,Greece-10990
Finnish Tax Authorities’ actions to support companies during the COVID-19 epidemic,Tax & Accounting,English,Finland-3199
Tax accounting services,Tax & Accounting,English,Israel-4136
"Tax and legal news, November 2019",Tax & Accounting,English,Finland-3276
Remote Work and hybrid models - a sudden emergency exit or a new sustainable trend? | PwC,Business & Management,English,Poland-418
PwC Actuarial Services Srl | Privacy notice,Finance,English,Italy-4620
Deal summary AAC Capital / Ouman Oy,Finance,English,Finland-3519
Investing in internal audit innovation is key to delivering business value,Business & Management,English,Global-14034
World Tax Summaries: Taxation in Greece,Tax & Accounting,English,Greece-10983
Real Estate,Industry,English,Spain-1948
Energy and Utilities Industry,Industry,English,Greece-10692
Economic and business impacts of COVID-19 crisis - Jeremy Thorpe,Business & Management,English,Greece-10408
"Energy, utilities & resources",Industry,English,Italy-4809
Terrain Insights: a digital risk management platform,Technology,English,Spain-2828
"Tax and legal news, 22 December 2015",Tax & Accounting,English,Finland-3159
Territorial and Sustainable Development: “Smart Cities”,Business & Management,English,Greece-10499
Finance and Insurance,Finance,English,Spain-15
ERP Services,Technology,English,Turkey-5384
SME funding event,Business & Management,English,Greece-10714
Tax Flash: Determination of the R&D activities qualifying for the 30% super deduction,Tax & Accounting,English,Greece-10887
Demand Driven Material Requirements Planning,Industry,English,Italy-4995
‘Failing your way to success’: Longevity and entrepreneurship in the US: Global Family Business Survey 2016: PwC,Business & Management,English,Greece-11098
Interim CFO,Business & Management,English,Turkey-5269
Improve operational efficiency,Business & Management,English,Finland-2976
The role of digitisation in reshaping the industrial manufacturing industry,Technology,English,Global-14074
"As digital and STEM skills become increasingly valuable, most workers are confident they have what it takes",Business & Management,English,Global-13934
Consumer demand for personalisation and tech advances drives innovation in entertainment and media industry,Industry,English,Global-14067
Insurance Banana Skins 2017,Finance,English,Spain-2374
Tax and legal news 4 September 2015,Tax & Accounting,English,Finland-3138
Country by country reporting tool,Tax & Accounting,English,Finland-3293
Private equity advisory,Finance,English,Italy-5037
COVID-19: How to prevent the global pandemic from becoming a fraud pandemic,Government & Controls,English,Turkey-5245
"As work sites slowly start to reopen, CFOs are concerned about the global economy and a potential new COVID-19 wave - PwC survey",Business & Management,English,Global-14125
Renew my business strategy,Business & Management,English,Finland-2980
Private companies confident about own prospects but underprepared for cyberattacks,Technology,English,Global-13973
Firms must adopt digital strategies to maintain their brand and operational advantages,Business & Management,English,Global-13681
Artificial Intelligence: Connected Intelligence,Technology,English,Turkey-9216
Regulatory Advice,Government & Controls,English,Greece-11246
Emerging Trends in Real Estate: Europe 2017,Industry,English,Turkey-5708
Legal Flash: New rules for the lawful processing of personal data,Government & Controls,English,Greece-10824
The impact of Brexit on the free flow of data,Government & Controls,English,Turkey-6211
ISO 37001 - Anti-Bribery Management Systems,Government & Controls,English,Turkey-5247
PwC Named a Leader in Health and Wellness Benefits Consulting,Industry,English,Global-13756
Deal summary Cadmatic / Numeriek Centrum Groningen B.V.,Finance,English,Finland-3040
Illustrative IFRS consolidated financial statements for 2013 year ends,Tax & Accounting,English,Turkey-5360
Real estate transaction services,Industry,English,Finland-2942
FinTech 2017,Finance,English,Spain-1144
Assistance with Capital Market Transactions,Finance,English,Israel-3955
Outplacement & Career Transition,Business & Management,English,Greece-10516
Tax Compliance,Tax & Accounting,English,Greece-11253
Cancelled International Flights by Turkey due to COVID-19,Industry,English,Turkey-5601
C25 by Numbers 2018,Finance,English,Denmark-13376
"Corporate Intelligence: know the risks, establish a strategy",Business & Management,English,Spain-49
Our annual reports,Tax & Accounting,English,Finland-2891
Working together to prevent diabetes in western Sydney,Industry,English,Spain-2821
Deal summary Machinery Oy,Finance,English,Finland-3563
Tax Flash: Law 4334/2015,Tax & Accounting,English,Greece-10878
Redefining business success in a changing world,Business & Management,English,Spain-1744
New global initiative to help harness technology to tackle environmental issues.,Business & Management,English,Global-13968
Systems & Process Assurance (SPA),Tax & Accounting,English,Israel-3961
Deal summary SN4 International Oy / Bisnode Finland Oy,Finance,English,Finland-3586
Private Company Services,Business & Management,English,Finland-3008
Other significant taxes,Tax & Accounting,English,Iceland-11304
Workforce of the future quiz: What world do you belong in?,Business & Management,English,Italy-4961
Domestic red tape worries entrepreneurs more than EU bureaucracy – PwC survey,Business & Management,English,Global-14022
19th Annual Global CEO Survey: Asset management,Finance,English,Greece-11000
Organizational Strategy,Business & Management,English,Greece-10493
Deal summary Caverion Corporation / CapMan Buyout,Finance,English,Finland-3527
Confidence in India and China contrasts caution in African markets,Government & Controls,English,Global-14016
Key findings from the global Oil and Gas industry,Industry,English,Turkey-5940
Deal summary Pohjolan Werkonrakennus Oy / Infratek,Finance,English,Finland-3576
Shipping publications,Industry,English,Greece-10993
New dynamics of the pharmaceutical oncology market: Five questions to shape your strategy,Industry,English,Turkey-5755
Data Analytics,Technology,English,Turkey-5368
Coronavirus (COVID-19),Industry,English,Turkey-5846
Real Estate 2020,Industry,English,Spain-1489
21st CEO Survey: The Anxious Optimist in the Corner Office,Business & Management,English,Turkey-5946
Real Estate Strategy and Real Assets,Industry,English,Turkey-5706
Workforce of the future quiz: What world do you belong in?,Business & Management,English,Italy-4962
Deal summary Procuritas AB  / Procuritas AB,Finance,English,Finland-3573
"By 2030, the transport sector will require 138 million fewer cars in Europe and the US",Industry,English,Global-14010
IFRS disclosure checklist 2012,Tax & Accounting,English,Turkey-5358
Tax Day,Tax & Accounting,English,Finland-3753
Family business services: Building lasting value from family values,Business & Management,English,Greece-11207
Localisation process in Pharma Industry: Effects on Multinational pharma companies,Industry,English,Turkey-5586
ESG Intelligence tool,Business & Management,English,Greece-10541
The impacts of COVID-19 on taxation in Finland,Tax & Accounting,English,Finland-3283
Transaction Service,Finance,English,Israel-3946
2019 AI Predictions: Six priorities you can’t afford to ignore,Technology,English,Spain-2647
Deal summary Hämeen Kirjapaino Oy,Finance,English,Finland-3056
Tax Flash March 2015,Tax & Accounting,English,Greece-10895
Tax Flash: New provisions in the field of both direct and indirect taxation,Tax & Accounting,English,Greece-10812
Alumni Programme subscribe form,Business & Management,English,Greece-10576
Deals,Finance,English,Turkey-5205
Transaction Services,Finance,English,Finland-3908
Deal summary Purkupiha Oy / Sentica Partners,Finance,English,Finland-3575
Asset & Wealth Management Revolution: Embracing Exponential Change,Finance,English,Spain-2717
Anti-crisis shield and state aid | Support instruments for enterprises in Poland | PwC,Government & Controls,English,Poland-372
PwC’s M&A team ranked as Poland’s deals leader by Mergermarket,Finance,English,Poland-588
Tax Flash November 2014,Tax & Accounting,English,Greece-10894
Mandatory split payment from November 2019,Tax & Accounting,English,Poland-495
"IFRS news, May 2020",Tax & Accounting,English,Greece-10756
The Global State of Information Security Survey 2018,Technology,English,Turkey-5416
SAP on Azure. It's time.,Technology,English,Greece-10569
Trends overview: Digitalisation of tax reporting,Tax & Accounting,English,Finland-3194
Cybersecurity and Privacy,Technology,English,Turkey-9145
Design with Data Virtual Workshop,Technology,English,Italy-4726
Almost a third of consumers plan for new AI home devices,Industry,English,Global-14004
What are the opportunities to embrace new ways of working throughout the COVID-19 pandemic? - Ben Hamer,Business & Management,English,Greece-10853
"IFRS 16, Leases: Implications for the shipping industry",Tax & Accounting,English,Greece-10997
PwC opens Cyber Security Experience Centre in Israel,Technology,English,Global-14100
"A new, attractive window of opportunity for US taxpayers to voluntarily disclose offshore income and/or assets",Tax & Accounting,English,Israel-4124
Source Code Analysis,Technology,English,Turkey-5404
Real estate services,Industry,English,Finland-2940
ALM Intelligence rates PwC a global leader in retirement benefits consulting,Business & Management,English,Global-13716
Digital Services,Technology,English,Greece-10453
Financial risk management services,Finance,English,Turkey-5480
Transformation of the Asset Management Industry,Finance,English,Turkey-5800
Workforce Strategy,Business & Management,English,Spain-175
Tomorrow's leaders today,Business & Management,English,Greece-11035
Family Business Survey,Business & Management,English,Greece-11072
Deal summary Veho Bil Sverige AB,Finance,English,Finland-3609
Banks will be like supermarkets,Finance,English,Poland-352
Tax Controversy & Dispute Resolution,Tax & Accounting,English,Greece-11247
Confidence in the future: Human and machine collaboration in the audit,Tax & Accounting,English,Turkey-5322
BC Mine 2019: ESG: Resilience and opportunity in uncertain times,Business & Management,English,Spain-2784
20th CEO Survey: Key findings in the banking and capital markets industry,Finance,English,Turkey-5650
Finland to adopt the real seat principle in taxation,Tax & Accounting,English,Finland-3197
Low Carbon Economy Index 2015,Business & Management,English,Spain-1690
COVID-19: Protecting your supply chain,Industry,English,Greece-10405
Central Government Reforms: “Transforming Policy to Action”,Government & Controls,English,Greece-10495
Doing business in China,Government & Controls,English,Spain-1571
22nd Annual Global CEO Survey,Business & Management,English,Turkey-5959
Clients: PwC - Global Annual Review 2020,Business & Management,English,Spain-1236
"London regains position as Europe’s most active exchange for IPOs,  but IPO activity remains subdued across Europe",Finance,English,Russia-11456
Explore innovation opportunities,Business & Management,English,Italy-4598
"The four ‘P’s: People, planet, profits – and passion",Business & Management,English,Greece-11168
Step 2: Take off,Business & Management,English,Italy-5086
Industry 4.0,Technology,English,Finland-3428
Avoid Earnings Surprises after closing an M&A acquisition,Finance,English,Finland-2946
Operation Strategy,Business & Management,English,Greece-10491
PwC's 21st CEO Survey: Key findings from the asset and wealth management industry,Finance,English,Turkey-5957
How can the tax obligations of companies change from responses to COVID-19?,Tax & Accounting,English,Greece-10848
Diversity and inclusion,Business & Management,English,Italy-4679
Actuary and models,Finance,English,Israel-4150
Successfully Developing Innovative Drugs and Enhancing R&D Productivity,Industry,English,Israel-4113
Resolving tax disputes in transfer pricing,Tax & Accounting,English,Turkey-5592
Tax and legal news 12 January 2017,Tax & Accounting,English,Finland-3236
HR Outsourcing,Business & Management,English,Greece-10509
Payroll Outsourcing: Discipline leading to Innovation,Business & Management,English,Greece-10374
2016 Global Innovation 1000,Business & Management,English,Greece-11022
Real Estate Taxation,Industry,English,Israel-4134
The impact of Brexit on Merger & Acquisition activity,Finance,English,Turkey-6207
Energy and Utilities Industry,Industry,English,Greece-10691
Technological progress determines changes in legal sector,Technology,English,Poland-559
"IFRS news, August 2017",Tax & Accounting,English,Greece-10732
Sustainability News: PwC Greece,Business & Management,English,Greece-10805
Worldwide Tax Summaries 2018/2019,Tax & Accounting,English,Denmark-13598
PwC’s COVID-19 CFO Pulse,Business & Management,English,Turkey-6220
Audit & Assurance Publications,Tax & Accounting,English,Greece-10917
Sourcing strategies must continue to evolve,Business & Management,English,Global-13780
Winning through M&A in the next recession,Finance,English,Spain-2838
Impact Investing for Family Offices,Business & Management,English,Greece-11151
HR Technology and Analytics,Business & Management,English,Greece-10512
"IFRS news, February 2018",Tax & Accounting,English,Greece-10737
PwC’s Global Artificial Intelligence Study: Sizing the prize,Technology,English,Turkey-5151
European Private Business Survey 2019,Business & Management,English,Spain-1574
Tax and legal news 18 November 2016,Tax & Accounting,English,Finland-3249
Annual report 2016: Our year in review,Tax & Accounting,English,Turkey-9106
Presenting a United Front on Financial Crimes,Government & Controls,English,Turkey-5246
Corporate treasury solutions,Tax & Accounting,English,Italy-4987
Business management,Business & Management,English,Greece-9959
Insurance Lab,Finance,English,Italy-4882
SDG Challenge 2019,Business & Management,English,Turkey-9183
Focus on diversity and career progression key to winning the fight for female talent,Business & Management,English,Global-13952
"Confidence, skills, preparation: The next gens’ expectations of themselves",Business & Management,English,Greece-11180
Banking sector consolidation in Europe - what are the drivers? Cross-border deals?,Finance,English,Spain-233
PwC rated as a leader in robotic process automation (RPA) service providers in health industries report by independent research firm,Technology,English,Global-14120
Demystifying the online shopper,Industry,English,Turkey-5750
Digital Revolution and Open Banking,Finance,English,Turkey-5840
Breakthrough innovation and growth,Business & Management,English,Spain-1672
Family Business Survey 2018,Business & Management,English,Greece-11120
Deal summary AinaCom Oy,Finance,English,Finland-3039
"New tax benefits for R&D, innovation, design activities and Technology Development Zones",Tax & Accounting,English,Turkey-5548
State of Compliance Study,Government & Controls,English,Turkey-5485
Indirect Taxes,Tax & Accounting,English,Greece-11235
Global economic crime rates remain high as customer fraud continues to rise,Government & Controls,English,Russia-11511
Game of Threats™ – Information security training,Technology,English,Finland-3112
"IFRS news, February 2020",Tax & Accounting,English,Greece-10739
Tackling the challenges of the COVID-19,Industry,English,Finland-3131
"PwC Sees US$9.46 Billion Drone Solutions Market for Power, Utilities Industries",Industry,English,Russia-11438
Government/Public Services,Government & Controls,English,Iceland-11273
Sports industry: time to refocus?,Industry,English,Spain-1619
Annual report 2016: Governance and transparency,Government & Controls,English,Turkey-9100
Tax News,Tax & Accounting,English,Greece-10806
Hyperautomation,Technology,English,Spain-1251
Transfer Pricing,Tax & Accounting,English,Greece-11255
Big Data,Technology,English,Spain-1039
Step 1: Startup,Business & Management,English,Italy-5085
Taxes in Iceland,Tax & Accounting,English,Iceland-11307
Disruption Workshop,Business & Management,English,Italy-4996
Paying Taxes 2017,Tax & Accounting,English,Turkey-9133
20th CEO Survey: Key findings from the insurance and private pension industry,Finance,English,Turkey-5942
Annual report 2016: Fane Valley,Tax & Accounting,English,Turkey-9099
IFRS Reporting,Tax & Accounting,English,Israel-3956
Asset management,Finance,English,Israel-3953
Government publications,Government & Controls,English,Greece-10940
Tax Flash March 2015,Tax & Accounting,English,Greece-10855
Download the 2012 Family Business Survey,Business & Management,English,Greece-11132
Communications Review: The software-defined carrier,Technology,English,Turkey-5791
Insurance,Finance,English,Greece-10469
Private Equity & Digital Transformation,Finance,English,Turkey-5737
Tax and legal news 10 March 2016,Tax & Accounting,English,Finland-3233
Annual Corporate Directors Survey,Business & Management,English,Denmark-12195
The impact of Brexit on the energy sector,Government & Controls,English,Turkey-6210
COVID-19: Protecting your supply chain,Industry,English,Greece-10847
Tax Flash: Ministerial Circular 1057/2017: Corporate restructurings,Tax & Accounting,English,Greece-10811
Serving clients from Strategy through Execution,Business & Management,English,Spain-2646
PwC wins ‘Audit Innovation of the Year’ at 2016 International Accounting Bulletin Awards,Business & Management,English,Russia-11436
Diversity and inclusion: PwC - Global Annual Review 2020,Business & Management,English,Spain-1238
"AI to drive GDP gains of $15.7 trillion with productivity, personalisation improvements",Technology,English,Global-13932
Reported global economic crime hits record levels,Government & Controls,English,Global-14050
The Healthy Sense Award presents the 2020 shortlist of nominees,Industry,English,Russia-11517
Data and analytics,Technology,English,Italy-4595
Retail & consumer,Industry,English,Turkey-9143
Deal summary Kimet Oy,Finance,English,Finland-3554
IT Consulting,Technology,English,Israel-3934
Shifting patterns: the future of the logistics industry,Industry,English,Greece-11057
About Audit & Assurance,Tax & Accounting,English,Iceland-11265
High-Tech,Technology,English,Israel-4142
PwC opens Cyber Security Experience Centre in Israel,Technology,English,Global-14071
Role of the board,Business & Management,English,Greece-11104
Felix Kroschke: Transportation transformer,Industry,English,Greece-11195
"IFRS news, January 2019",Tax & Accounting,English,Greece-10741
Regulatory Advice,Government & Controls,English,Greece-11221
Real Estate,Industry,English,Italy-4784
"PwC’s Saratoga, diversity and inclusion challenges amid the shifting landscape of HR management",Business & Management,English,Global-13896
Cashflow Coach,Tax & Accounting,English,Turkey-9243
Poland to start publishing largest companies’ tax data,Tax & Accounting,English,Poland-465
Deal summary Valio Oy / Chr.Hansen A/S,Finance,English,Finland-3094
Tax Flash February 2015,Tax & Accounting,English,Greece-10883
Tax and legal news 25 February 2016,Tax & Accounting,English,Finland-3253
Emerging Trends in Real Estate® - Europe 2018,Industry,English,Denmark-13430
Tax Services,Tax & Accounting,English,Greece-11224
Internal audit and control services,Tax & Accounting,English,Turkey-5484
Energy,Industry,English,Iceland-11271
"Technology has reduced the tax compliance burden on business, but where will the demands for increased data lead?",Technology,English,Global-13990
IFRS News,Tax & Accounting,English,Turkey-5357
Finnish national developments with regards to the final tax losses doctrine concerning cross-border EU/EEA group contribution,Tax & Accounting,English,Finland-3198
PwC named a Leader in the IDC MarketScape: Worldwide Cloud Business Analytics Services 2020,Technology,English,Global-13911
"Professional, practical, adaptable: Success and succession in India: Global Family Business Survey 2016: PwC",Business & Management,English,Greece-11111
"Tax and Legal News, June 2020",Tax & Accounting,English,Finland-3217
Tax and legal news 18 May 2017,Tax & Accounting,English,Finland-3247
2017 Telecommunication Trends,Technology,English,Turkey-5788
Deal summary Oy Kaha Ab,Finance,English,Finland-3549
Over a half of the “fathers and sons” surveyed by PwC together with NAFI are optimistic about the future of Russian business,Business & Management,English,Russia-11481
Global employee mobility: Deploying talent strategically,Business & Management,English,Israel-4127
Human rights statement,Business & Management,English,Turkey-5184
Real Estate Transactions Support,Industry,English,Greece-11245
Banking Regulatory Alert,Finance,English,Poland-373
Deal summary Vaaka Partners Oy / Unisport Scandinavia AB,Finance,English,Finland-3596
Draft decrees on the CIT TP form and the CbCR published by Ministry of Finance,Tax & Accounting,English,Poland-434
"As work sites slowly start to reopen, CFOs are optimistic they can keep their customers and employees safe - PwC survey",Business & Management,English,Global-14121
2016 Global ICT 50 Study,Technology,English,Greece-11050
"Advanced economy growth weak despite record low interest rates, says PwC",Finance,English,Russia-11447
The Budget process as a business growth engine,Business & Management,English,Israel-4263
Real estate valuation and management,Industry,English,Finland-2943
Tax Flash: VAT relief on bad debts – ECJ Decision in favour of taxpayers,Tax & Accounting,English,Greece-10900
"Technology, Information, Communication & Entertainment",Technology,English,Greece-10479
Entertainment and Media Outlook in Italy 2015-2019,Industry,English,Italy-4759
Turning disruption to your advantage - The Currency of Collision,Business & Management,English,Spain-2749
Capital Markets Board of Turkey published decisions in order to eliminate the negative impact of COVID-19,Finance,English,Turkey-5817
Finnish Tax Authorities’ actions to support companies during the COVID-19 epidemic,Tax & Accounting,English,Finland-3200
"Training, Engagement and Development",Business & Management,English,Greece-10511
"Tax and legal news, October 2017",Tax & Accounting,English,Finland-3239
More women are actively pursuing their career goals than ever before,Business & Management,English,Russia-11480
What is ESG?,Business & Management,English,Greece-10549
Deal summary AinaCom Oy,Finance,English,Finland-3521
TMT Companies Survey: Seizing the innovation edge,Business & Management,English,Turkey-5970
Cybersecurity,Technology,English,Poland-396
Treasury & Financial Risks,Tax & Accounting,English,Spain-223
Training and coaching for an assignment abroad,Business & Management,English,Finland-3025
Enterprise Applications,Technology,English,Turkey-5421
Tax Flash: Country-by-country reporting obligations in Greece,Tax & Accounting,English,Greece-10809
IAS 19 Actuarial Studies,Finance,English,Greece-10382
PwC’s 2018 Annual Corporate Directors Survey,Business & Management,English,Spain-1703
"‘A sense of responsibility’: Family, community and nation in Oman: Global Family Business Survey 2016: PwC",Business & Management,English,Greece-11084
Emerging Trends in Real Estate® Europe 2016,Industry,English,Denmark-13429
Corporate responsibility,Business & Management,English,Spain-2603
Time to talk: What has to change for women at work,Business & Management,English,Turkey-5447
The right tools for the job: Succession in Austria: Global Family Business Survey 2016: PwC,Business & Management,English,Greece-11114
Social Determinants of Health,Industry,English,Spain-2809
Individual income tax parameters,Tax & Accounting,English,Turkey-5541
Financial Restructuring and the New Law,Finance,English,Turkey-5827
New version of SAF-T structure for VAT - JPK_VAT (3) was released,Tax & Accounting,English,Poland-452
DDoS/DoS Tests,Technology,English,Turkey-5402
"Deal summary Kymppivoima Oy, EPV Energia Oy and Helen Oy / Dong Energy",Finance,English,Finland-3559
Corporate Governance,Government & Controls,English,Iceland-11290
Cybercrime Survey 2018,Technology,English,Denmark-13414
"Legal Flash: Amendments to the Greek Bankruptcy Code, the Law on the Out-of-Court Work Out Mechanism (OCW) and the Law on Non-Performing Loan Management Companies",Finance,English,Greece-10765
Emerging trends in real estate 2015 Europe,Industry,English,Greece-10930
Anti-Money Laundering (AML) Reviews,Government & Controls,English,Turkey-5229
Innovation Benchmark Report,Business & Management,English,Finland-3429
Breaking new grounds: Managing and mentoring in Canada: Global Family Business Survey 2016: PwC,Business & Management,English,Greece-11077
Deal Announcement Katsastus Kovalainen and Q-katsastus,Finance,English,Finland-3515
Transportation and Logistics Industry,Industry,English,Greece-10713
Data & Analytics,Technology,English,Greece-10524
Will Polish insurers manage to implement IFRS17 on time?,Finance,English,Poland-370
"After springing back to life in 2017, what’s next for Global tech IPOs?",Finance,English,Global-14001
People and purpose: Talent strategy in an unpredictable world,Business & Management,English,Greece-10910
The digitization of utilities,Industry,English,Spain-1610
MiFID II,Finance,English,Italy-4781
